query_id	all_nMatch	diffExprds_nMatch
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr6_TAD71	21	19
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr6_TAD45	21	19
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr6_TAD60	21	19
ENCSR444WCZ_A549_40kb_TCGAluad_nonsmoker_smoker_chr6_TAD60	21	19
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr6_TAD60	21	19
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr6_TAD60	21	19
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr6_TAD41	21	19
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr6_TAD41	21	19
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr6_TAD41	21	19
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr6_TAD41	21	19
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr6_TAD59	21	19
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr6_TAD70	21	19
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr6_TAD66	21	19
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr6_TAD66	21	20
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr6_TAD61	21	19
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr6_TAD61	21	20
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr6_TAD69	21	21
K562_40kb_TCGAlaml_wt_mutFLT3_chr6_TAD73	21	21
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr6_TAD63	21	19
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr6_TAD63	21	19
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr6_TAD63	21	19
NCI-H460_40kb_TCGAlusc_norm_lusc_chr6_TAD63	21	19
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr1_TAD258	13	13
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr1_TAD269	12	12
K562_40kb_TCGAlaml_wt_mutFLT3_chr1_TAD317	12	12
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chrX_TAD271	11	10
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutCTNNB1_chrX_TAD271	11	10
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr17_TAD98	11	10
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chrX_TAD200	11	11
ENCSR444WCZ_A549_40kb_TCGAluad_nonsmoker_smoker_chrX_TAD200	11	10
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chrX_TAD200	11	10
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chrX_TAD239	11	10
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chrX_TAD208	11	10
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chrX_TAD208	11	10
GSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr17_TAD108	11	9
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr12_TAD112	11	11
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr17_TAD108	11	9
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr12_TAD112	11	9
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr17_TAD108	11	9
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr17_TAD98	11	9
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr17_TAD98	11	9
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr12_TAD99	11	9
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr17_TAD98	11	9
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr17_TAD80	11	9
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr17_TAD80	11	9
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr12_TAD85	11	9
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr17_TAD80	11	9
K562_40kb_TCGAlaml_wt_mutFLT3_chr17_TAD120	11	11
K562_40kb_TCGAlaml_wt_mutFLT3_chr17_TAD121	11	11
MCF-7_40kb_TCGAbrca_lum_bas_chrX_TAD226	11	10
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr17_TAD98	11	10
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chrX_TAD239	11	10
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chrX_TAD239	11	10
NCI-H460_40kb_TCGAlusc_norm_lusc_chrX_TAD239	11	11
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr12_TAD125	10	9
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr12_TAD86	10	9
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr12_TAD115	10	10
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr12_TAD115	10	8
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr12_TAD81	10	8
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr1_TAD277	10	8
GSE105318_DLD1_40kb_TCGAcoad_msi_mss_chr12_TAD109	10	10
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr1_TAD271	10	10
NCI-H460_40kb_TCGAlusc_norm_lusc_chr12_TAD115	10	8
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr1_TAD208	9	7
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr1_TAD300	9	9
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr7_TAD58	9	7
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD208	9	7
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD129	9	7
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr7_TAD32	9	7
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD129	9	7
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr1_TAD171	9	9
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD169	9	7
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr7_TAD47	9	7
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr1_TAD169	9	7
GSE105194_cerebellum_40kb_TCGAgbm_classical_neural_chr7_TAD54	9	7
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr1_TAD197	9	7
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr7_TAD54	9	7
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr1_TAD252	9	7
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr7_TAD52	9	7
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr1_TAD177	9	7
